|-------|------------------|---------|-------------|-----------------|---------------|-------------|----------------|-----------|-----------|-----------|-----------|
| id    | category         | n_parts | n_relations | n_intersections | n_reflections | n_rotations | n_translations | n_order_0 | n_order_1 | n_order_2 | n_order_3 |
|-------|------------------|---------|-------------|-----------------|---------------|-------------|----------------|-----------|-----------|-----------|-----------|
|   177 | Chair            |       6 |           4 |               5 |             4 |           0 |              0 |         4 |         1 |         0 |         0 |
|-------|------------------|---------|-------------|-----------------|---------------|-------------|----------------|-----------|-----------|-----------|-----------|
|  2236 | Chair            |      15 |           2 |              21 |             0 |           1 |              1 |         4 |         6 |         3 |         8 |
|-------|------------------|---------|-------------|-----------------|---------------|-------------|----------------|-----------|-----------|-----------|-----------|
|  2365 | Chair            |      13 |           5 |              31 |             5 |           0 |              0 |        18 |        13 |         0 |         0 |
|-------|------------------|---------|-------------|-----------------|---------------|-------------|----------------|-----------|-----------|-----------|-----------|
|  2431 | Chair            |      17 |           8 |              33 |             8 |           0 |              0 |        30 |         3 |         0 |         0 |
|-------|------------------|---------|-------------|-----------------|---------------|-------------|----------------|-----------|-----------|-----------|-----------|
|  2482 | Chair            |      18 |           8 |              32 |             7 |           0 |              1 |        18 |        13 |         1 |         0 |
|-------|------------------|---------|-------------|-----------------|---------------|-------------|----------------|-----------|-----------|-----------|-----------|
|  2683 | Chair            |      16 |           7 |              33 |             6 |           1 |              0 |        28 |         2 |         1 |         2 |
|-------|------------------|---------|-------------|-----------------|---------------|-------------|----------------|-----------|-----------|-----------|-----------|
| 35352 | Chair            |      24 |           6 |              44 |             4 |           2 |              0 |        25 |        14 |         3 |         2 |
|-------|------------------|---------|-------------|-----------------|---------------|-------------|----------------|-----------|-----------|-----------|-----------|
| 36241 | Chair            |      12 |           6 |              28 |             6 |           0 |              0 |        21 |         6 |         1 |         0 |
|-------|------------------|---------|-------------|-----------------|---------------|-------------|----------------|-----------|-----------|-----------|-----------|
| 42395 | Chair            |      10 |           5 |              17 |             5 |           0 |              0 |         8 |         8 |         1 |         0 |
|-------|------------------|---------|-------------|-----------------|---------------|-------------|----------------|-----------|-----------|-----------|-----------|
| 42404 | Chair            |      11 |           6 |              11 |             6 |           0 |              0 |         6 |         4 |         0 |         1 |
|-------|------------------|---------|-------------|-----------------|---------------|-------------|----------------|-----------|-----------|-----------|-----------|
| 42446 | Chair            |      16 |           6 |              21 |             5 |           1 |              0 |         8 |        12 |         1 |         0 |
